[2025-06-20 15:49:22] System: CPU=56.3%, Mem=48.2%, Net=143MB Sent
[2025-06-20 15:49:25] System: CPU=31.9%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:49:28] System: CPU=74.2%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:49:31] System: CPU=38.3%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:49:35] System: CPU=83.6%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:49:38] System: CPU=47.7%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:49:41] System: CPU=36.7%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:49:44] System: CPU=47.3%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:49:47] System: CPU=89.3%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:49:50] System: CPU=54.3%, Mem=47.7%, Net=143MB Sent
[2025-06-20 15:49:53] System: CPU=54.5%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:49:56] System: CPU=40.6%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:49:59] System: CPU=57.6%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:50:02] System: CPU=83.4%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:50:05] System: CPU=51.0%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:50:08] System: CPU=42.6%, Mem=48.4%, Net=143MB Sent
[2025-06-20 15:50:11] System: CPU=36.6%, Mem=48.2%, Net=143MB Sent
[2025-06-20 15:50:14] System: CPU=65.4%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:50:17] System: CPU=75.1%, Mem=48.3%, Net=143MB Sent
[2025-06-20 15:50:20] System: CPU=63.7%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:50:23] System: CPU=33.0%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:50:26] System: CPU=69.1%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:50:29] System: CPU=62.6%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:50:32] System: CPU=59.1%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:50:47] System: CPU=58.6%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:50:49] System: CPU=80.5%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:50:52] System: CPU=100.0%, Mem=48.2%, Net=143MB Sent
[2025-06-20 15:50:54] System: CPU=55.6%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:50:57] System: CPU=54.4%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:51:00] System: CPU=77.0%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:51:03] System: CPU=38.4%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:51:06] System: CPU=53.7%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:51:09] System: CPU=63.3%, Mem=48.2%, Net=143MB Sent
[2025-06-20 15:51:12] System: CPU=52.1%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:51:15] System: CPU=46.9%, Mem=47.7%, Net=143MB Sent
[2025-06-20 15:51:18] System: CPU=47.5%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:51:21] System: CPU=45.0%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:51:24] System: CPU=35.5%, Mem=47.7%, Net=143MB Sent
[2025-06-20 15:51:27] System: CPU=41.0%, Mem=47.7%, Net=143MB Sent
[2025-06-20 15:51:30] System: CPU=49.6%, Mem=47.7%, Net=143MB Sent
[2025-06-20 15:51:33] System: CPU=45.3%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:51:36] System: CPU=63.9%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:51:39] System: CPU=51.6%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:51:42] System: CPU=66.3%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:51:45] System: CPU=73.8%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:51:48] System: CPU=58.7%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:51:51] System: CPU=38.4%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:51:54] System: CPU=31.6%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:51:57] System: CPU=60.4%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:52:00] System: CPU=29.6%, Mem=47.9%, Net=143MB Sent
[2025-06-20 15:52:03] System: CPU=49.4%, Mem=48.1%, Net=143MB Sent
[2025-06-20 15:52:06] System: CPU=58.3%, Mem=48.2%, Net=143MB Sent
[2025-06-20 15:52:09] System: CPU=67.0%, Mem=48.3%, Net=143MB Sent
[2025-06-20 15:52:12] System: CPU=51.7%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:52:15] System: CPU=56.8%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:52:18] System: CPU=73.4%, Mem=47.8%, Net=143MB Sent
[2025-06-20 15:52:21] System: CPU=68.3%, Mem=48.0%, Net=143MB Sent
[2025-06-20 15:52:24] System: CPU=48.3%, Mem=48.0%, Net=144MB Sent
[2025-06-20 15:52:28] System: CPU=64.1%, Mem=47.9%, Net=144MB Sent
[2025-06-20 15:52:30] System: CPU=52.8%, Mem=47.9%, Net=144MB Sent
[2025-06-20 15:52:33] System: CPU=50.2%, Mem=47.8%, Net=144MB Sent
[2025-06-20 15:52:36] System: CPU=50.8%, Mem=47.8%, Net=144MB Sent
[2025-06-20 15:52:39] System: CPU=82.2%, Mem=47.8%, Net=144MB Sent
[2025-06-20 15:52:42] System: CPU=37.6%, Mem=47.9%, Net=144MB Sent
[2025-06-20 15:52:45] System: CPU=52.5%, Mem=47.7%, Net=144MB Sent
[2025-06-20 15:52:48] System: CPU=52.5%, Mem=47.7%, Net=144MB Sent
[2025-06-20 15:52:51] System: CPU=48.6%, Mem=47.7%, Net=144MB Sent
[2025-06-20 15:52:54] System: CPU=53.5%, Mem=47.6%, Net=144MB Sent
[2025-06-20 15:52:57] System: CPU=45.2%, Mem=47.6%, Net=144MB Sent
[2025-06-20 15:53:00] System: CPU=57.4%, Mem=47.6%, Net=144MB Sent
[2025-06-20 15:53:03] System: CPU=63.8%, Mem=47.6%, Net=144MB Sent
[2025-06-20 15:53:06] System: CPU=61.2%, Mem=47.7%, Net=144MB Sent
[2025-06-20 15:53:09] System: CPU=46.2%, Mem=48.0%, Net=144MB Sent
[2025-06-20 15:53:12] System: CPU=68.8%, Mem=48.0%, Net=144MB Sent
[2025-06-20 15:53:15] System: CPU=66.1%, Mem=47.9%, Net=144MB Sent
[2025-06-20 15:53:18] System: CPU=64.1%, Mem=48.3%, Net=144MB Sent
[2025-06-20 15:53:21] System: CPU=36.3%, Mem=48.2%, Net=144MB Sent
[2025-06-20 15:53:24] System: CPU=52.0%, Mem=47.9%, Net=144MB Sent
[2025-06-20 15:53:27] System: CPU=46.9%, Mem=47.6%, Net=144MB Sent
[2025-06-20 15:53:30] System: CPU=51.5%, Mem=47.7%, Net=144MB Sent
[2025-06-20 15:53:33] System: CPU=38.0%, Mem=47.8%, Net=144MB Sent
[2025-06-20 15:53:36] System: CPU=38.7%, Mem=47.9%, Net=144MB Sent
[2025-06-20 15:53:39] System: CPU=47.9%, Mem=47.7%, Net=144MB Sent
[2025-06-20 15:53:42] System: CPU=58.3%, Mem=48.0%, Net=144MB Sent
[2025-06-20 15:53:45] System: CPU=51.5%, Mem=48.1%, Net=144MB Sent
[2025-06-20 15:53:48] System: CPU=66.4%, Mem=48.0%, Net=144MB Sent
[2025-06-20 15:53:51] System: CPU=51.0%, Mem=48.1%, Net=144MB Sent
[2025-06-20 15:53:52] chrome.exe | PID: 8080 | Parent: DESKTOP-3AJNAKS | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | Threat: Low
[2025-06-20 15:53:52] chrome.exe | PID: 8080 | Parent: DESKTOP-3AJNAKS | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | Threat: Low
[2025-06-20 15:53:54] System: CPU=58.5%, Mem=48.1%, Net=144MB Sent
[2025-06-20 15:53:57] System: CPU=47.9%, Mem=48.1%, Net=145MB Sent
[2025-06-20 15:54:00] System: CPU=45.4%, Mem=48.3%, Net=145MB Sent
[2025-06-20 15:54:03] System: CPU=62.1%, Mem=48.3%, Net=145MB Sent
[2025-06-20 15:54:06] System: CPU=51.5%, Mem=48.3%, Net=145MB Sent
[2025-06-20 15:54:09] System: CPU=32.7%, Mem=48.1%, Net=145MB Sent
[2025-06-20 15:54:12] System: CPU=38.1%, Mem=48.0%, Net=145MB Sent
[2025-06-20 15:54:15] System: CPU=39.7%, Mem=47.9%, Net=145MB Sent
[2025-06-20 15:54:18] System: CPU=55.2%, Mem=48.0%, Net=146MB Sent
[2025-06-20 15:54:21] System: CPU=61.9%, Mem=48.1%, Net=146MB Sent
[2025-06-20 15:54:24] System: CPU=51.5%, Mem=48.1%, Net=146MB Sent
[2025-06-20 15:54:27] System: CPU=50.4%, Mem=48.1%, Net=146MB Sent
[2025-06-20 15:54:30] System: CPU=41.4%, Mem=48.0%, Net=146MB Sent
[2025-06-20 15:54:33] System: CPU=47.3%, Mem=48.0%, Net=146MB Sent
[2025-06-20 15:54:36] System: CPU=35.5%, Mem=47.9%, Net=146MB Sent
[2025-06-20 15:54:39] System: CPU=66.2%, Mem=48.0%, Net=146MB Sent
[2025-06-20 15:54:42] System: CPU=55.4%, Mem=48.2%, Net=147MB Sent
[2025-06-20 15:54:47] System: CPU=51.1%, Mem=48.1%, Net=147MB Sent
[2025-06-20 15:57:59] python.exe | PID: 14128 | Parent: DESKTOP-3AJNAKS | Path: C:\Users\DELL\AppData\Local\Programs\Python\Python313\python.exe | Threat: Low
[2025-06-20 15:58:06] chrome.exe | PID: 7608 | Parent: DESKTOP-3AJNAKS | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | Threat: Low
[2025-06-20 15:58:06] chrome.exe | PID: 7608 | Parent: DESKTOP-3AJNAKS | Path: C:\Program Files\Google\Chrome\Application\chrome.exe | Threat: Low
[2025-06-20 15:58:07] System: CPU=85.8%, Mem=48.8%, Net=149MB Sent
[2025-06-20 15:58:10] System: CPU=66.0%, Mem=48.7%, Net=149MB Sent
[2025-06-20 15:58:13] System: CPU=61.2%, Mem=48.5%, Net=149MB Sent
[2025-06-20 15:58:16] System: CPU=79.5%, Mem=48.7%, Net=149MB Sent
[2025-06-20 15:58:19] System: CPU=71.2%, Mem=48.8%, Net=149MB Sent
[2025-06-20 15:58:22] System: CPU=32.3%, Mem=48.8%, Net=149MB Sent
[2025-06-20 15:58:25] System: CPU=46.3%, Mem=48.7%, Net=149MB Sent
[2025-06-20 15:58:28] System: CPU=57.7%, Mem=48.8%, Net=149MB Sent
[2025-06-20 15:58:31] System: CPU=80.1%, Mem=48.9%, Net=149MB Sent
[2025-06-20 15:58:34] System: CPU=48.8%, Mem=48.8%, Net=149MB Sent
[2025-06-20 15:58:37] System: CPU=43.9%, Mem=48.7%, Net=149MB Sent
[2025-06-20 15:58:40] System: CPU=51.5%, Mem=48.6%, Net=149MB Sent
[2025-06-20 15:58:43] System: CPU=53.1%, Mem=48.5%, Net=149MB Sent
[2025-06-20 15:58:46] System: CPU=55.9%, Mem=48.3%, Net=149MB Sent
[2025-06-20 15:58:49] System: CPU=84.3%, Mem=48.5%, Net=149MB Sent
[2025-06-20 15:58:52] System: CPU=65.0%, Mem=48.5%, Net=149MB Sent
[2025-06-20 15:58:55] System: CPU=48.7%, Mem=48.7%, Net=149MB Sent
[2025-06-20 15:58:58] System: CPU=41.5%, Mem=48.6%, Net=149MB Sent
[2025-06-20 15:59:01] System: CPU=36.7%, Mem=48.6%, Net=149MB Sent
[2025-06-20 15:59:04] System: CPU=35.7%, Mem=48.5%, Net=149MB Sent
[2025-06-20 15:59:07] System: CPU=56.4%, Mem=48.6%, Net=149MB Sent
[2025-06-20 15:59:10] System: CPU=63.8%, Mem=48.6%, Net=150MB Sent
[2025-06-20 15:59:13] System: CPU=52.3%, Mem=48.6%, Net=150MB Sent
[2025-06-20 15:59:16] System: CPU=54.9%, Mem=48.6%, Net=150MB Sent
[2025-06-20 15:59:19] System: CPU=47.3%, Mem=48.5%, Net=150MB Sent
[2025-06-20 15:59:22] System: CPU=41.4%, Mem=48.2%, Net=150MB Sent
